,0.05,0.25,0.5,0.75,0.95,invest_amount
135,4088538752,6052002246,7830552760,10059431624,14227748708,1351
136,4515151555,6699746384,8675051327,11139324013,15779866049,1351
137,4998868689,7402027662,9594404055,12355368210,17521410716,1351
138,5521998019,8188138058,10643298785,13671060070,19462340375,1351
139,6078524932,9070767896,11788855780,15147429143,21635091618,1351
140,6703654469,10056496159,13064565632,16828531471,24079303136,1351
141,7396776733,11085600923,14477066029,18646109286,26780430054,1351
142,8162193850,12255282606,16042799298,20674884476,29773538726,1351
143,9069168199,13542542365,17743588009,22914758154,33153715401,1351
144,10017228621,15006480234,19629061236,25405985852,36776952645,1425
145,11054986996,16614603434,21713990592,28185212398,40888322990,1425
146,12266784803,18399427027,24039916597,31221925334,45489453008,1425
147,13600202998,20320760199,26661990766,34651542873,50477128046,1425
148,15020028308,22469001198,29525184056,38417845165,56207777655,1425
149,16635136751,24877679368,32705497262,42597471765,62180818225,1425
150,18362816124,27530419458,36195625442,47245561128,69014458944,1425
151,20218970885,30443348661,40156047492,52259339390,76528965948,1425
152,22369377529,33697020748,44438876135,57916201651,84970341215,1425
153,24759328661,37291335977,49238038476,64217066755,94277475063,1425
154,27360232143,41249544202,54576392393,71203647557,104362236772,1425
155,30128639301,45644157230,60401175320,78883687557,116041840683,1425
156,33221478266,50510079353,66887365334,87452301913,128730955633,1504
157,36701074818,55855392920,74237853840,96995239139,143012129406,1504
158,40692945641,61897305005,82064951232,107486510684,158648081051,1504
159,44824950805,68521988368,90880009918,119014810784,175944739853,1504
160,49632801353,75844996620,100712378415,132196323841,195955748330,1504
161,55087767125,83836207103,111531221887,146633858854,217421594666,1504
162,60770222726,92781759545,123524140853,162733083722,241866217530,1504
163,66745486261,102662319289,136869388207,180295418793,268405654548,1504
164,73841170423,113461628332,151540018702,199832966886,297271000893,1504
165,81420340397,125650084515,167939598704,221742828695,331681112540,1504
166,90268166223,139080824606,186288864622,245549826407,368193466952,1504
167,99377706681,154140508213,206182473257,272187975082,407481981895,1504
168,110085960803,170652437531,228395421967,301549551541,451707348543,1587
169,121647197710,188901922432,252764762855,334090966813,500959043288,1587
170,134185695579,208763135820,279814380875,370194017328,555089637247,1587
171,148773986692,230881716693,309994769973,409447918728,618429551509,1587
172,164020905086,255559546937,342981989155,453775008598,688096190981,1587
173,181651021957,282997940283,379996319169,503652882732,763256869901,1587
174,200421194905,313693837726,421183368236,558215118289,848197100116,1587
175,222478981150,346742897460,466701086601,618844828652,942999527038,1587
